unix_time,iso_time,x,y,z,roll_deg,pitch_deg,yaw_deg
1771975197.9415004,2026-02-24T23:19:57.941500+00:00,6.682092355571811,-12.42595181228302,0.12195927576637948,178.4978067956897,-71.51674601011001,-67.53751958123283
1771975197.9423106,2026-02-24T23:19:57.942311+00:00,6.680216416641673,-12.425735436954442,0.12167686536408129,178.57829213457072,-71.4914236496917,-67.61685485756011
1771975197.9431949,2026-02-24T23:19:57.943195+00:00,6.678250381721268,-12.425498640234824,0.12136928417926288,178.65922190048155,-71.46426937720392,-67.69534520464023
1771975197.9441776,2026-02-24T23:19:57.944178+00:00,6.676280548153842,-12.425257285404264,0.12104465068483605,178.7373541305212,-71.43826557636369,-67.77131917404105
1771975197.9450958,2026-02-24T23:19:57.945096+00:00,6.67430641918501,-12.42500612166748,0.12069623021870106,178.8167915395337,-71.41965142259279,-67.85036757144897
1771975197.9459739,2026-02-24T23:19:57.945974+00:00,6.6723282879671935,-12.424744771129086,0.12032856334208422,178.90036990038615,-71.39843481364184,-67.93442737678727
1771975197.9467537,2026-02-24T23:19:57.946754+00:00,6.670347008690706,-12.424472129186338,0.11994637829488396,178.99598759504693,-71.38014464324894,-68.03003964030272
1771975197.9476724,2026-02-24T23:19:57.947672+00:00,6.668366534521656,-12.42419062112757,0.11955099552832046,179.1154510665021,-71.36441306258352,-68.1472378677328
1771975197.9487712,2026-02-24T23:19:57.948771+00:00,6.666391960637978,-12.423912327109768,0.11914501598271833,179.2476668420885,-71.35145403365928,-68.27632088701151
1771975197.9497273,2026-02-24T23:19:57.949727+00:00,6.664420678352349,-12.423634863872195,0.11872793540886199,179.377897574193,-71.34219359843473,-68.40321221619065
1771975197.950325,2026-02-24T23:19:57.950325+00:00,6.662444848834143,-12.423347506029637,0.11829492914881382,179.49212536327622,-71.33579776562456,-68.51459013634341
1771975197.9509685,2026-02-24T23:19:57.950969+00:00,6.660463482013902,-12.423051182018337,0.11784957951077632,179.59390045066885,-71.3307038934027,-68.6136725335296
1771975197.9520414,2026-02-24T23:19:57.952041+00:00,6.658480191890747,-12.422755224001843,0.11740331883039276,179.68663890482068,-71.33263651381118,-68.70290031172449
1771975197.9598317,2026-02-24T23:19:57.959832+00:00,6.656495079516885,-12.422462632393197,0.11695774638472359,179.7735087416598,-71.33951514706558,-68.78614291460646
1771975197.961112,2026-02-24T23:19:57.961112+00:00,6.654504561591738,-12.422164810809473,0.11649484482662195,179.85138604657075,-71.35274805765386,-68.86189445355673
1771975197.967649,2026-02-24T23:19:57.967649+00:00,6.652507802198492,-12.421860127777036,0.11601852372807335,179.92438641466842,-71.36524746596444,-68.93618729795502
1771975197.9783475,2026-02-24T23:19:57.978348+00:00,6.650508941978609,-12.421555512679783,0.11554379122394473,179.9878672265113,-71.38761741096245,-69.00243185056887
1771975197.9825616,2026-02-24T23:19:57.982562+00:00,6.6485126463983075,-12.421248235049081,0.11506754252307154,-179.9631537775484,-71.42076624161363,-69.05442005436514
1771975197.9831781,2026-02-24T23:19:57.983178+00:00,6.646521933314656,-12.420940852366654,0.11458337698904938,-179.94201455561296,-71.4553139791548,-69.07829635977451
1771975197.9863603,2026-02-24T23:19:57.986360+00:00,6.644538607768173,-12.420638303303342,0.11408659570874707,-179.94379659149294,-71.48906617834677,-69.07894277248145
1771975197.9925487,2026-02-24T23:19:57.992549+00:00,6.6439707333284925,-12.421493236851955,0.11566764915492685,-179.96559387257724,-71.51867895544731,-69.05976845132069
1771975197.9934027,2026-02-24T23:19:57.993403+00:00,6.642082404143253,-12.421190981384866,0.11515761833631694,-179.9995454356861,-71.53704800009706,-69.030177551517
1771975198.0364306,2026-02-24T23:19:58.036431+00:00,6.640103873285058,-12.42087272263214,0.11459400082636882,179.96429560712184,-71.55019808353087,-69.00006508269644
1771975198.037249,2026-02-24T23:19:58.037249+00:00,6.638128009171117,-12.420552575853874,0.11400130922156423,179.950701094177,-71.55844856631826,-68.99142151479685
1771975198.0377245,2026-02-24T23:19:58.037724+00:00,6.6283220693869325,-12.418784946609325,0.11087471955547676,-179.5227948996573,-71.67022856630105,-69.49386881254475
1771975198.0383089,2026-02-24T23:19:58.038309+00:00,6.6263686428118245,-12.418424080779937,0.11023408757081546,-179.45449264282817,-71.7051997712083,-69.5593838817492
1771975198.0817876,2026-02-24T23:19:58.081788+00:00,6.624411506157998,-12.418051355885966,0.10957261689670149,-179.4181469893706,-71.73664618133779,-69.59407529433165
1771975198.08307,2026-02-24T23:19:58.083070+00:00,6.618521796579072,-12.416907825437125,0.10745803834204555,-179.35379933243985,-71.78039363262009,-69.65759864161873
1771975198.0839078,2026-02-24T23:19:58.083908+00:00,6.616545478440723,-12.41650511888445,0.10671004029062126,-179.33788846491794,-71.78517888071903,-69.67655472060399
1771975198.0844133,2026-02-24T23:19:58.084413+00:00,6.614570074244797,-12.41610041061482,0.10595464976774834,-179.31582143235218,-71.78903893698453,-69.70188600162837
1771975198.085094,2026-02-24T23:19:58.085094+00:00,6.612596845642773,-12.415692676372053,0.10519848222890102,-179.2859817994068,-71.79696187347547,-69.73603018678217
1771975198.085684,2026-02-24T23:19:58.085684+00:00,6.6106225686113,-12.41527863033389,0.10444291355377894,-179.25565309671802,-71.80617696401751,-69.7708981791966
1771975198.0861373,2026-02-24T23:19:58.086137+00:00,6.608652276485372,-12.4148620098383,0.10369442969967126,-179.21403543731984,-71.83504247206656,-69.81627601472638
1771975198.086619,2026-02-24T23:19:58.086619+00:00,6.606683716106822,-12.414442126346195,0.10295664399952353,-179.15470888011993,-71.86791968406526,-69.87933475981811
1771975198.1248577,2026-02-24T23:19:58.124858+00:00,6.604714255320922,-12.414014478835904,0.1022125427729163,-179.08985395165837,-71.90904527499038,-69.94882796553259
1771975198.1254544,2026-02-24T23:19:58.125454+00:00,6.602749254918885,-12.413581897914924,0.1014515194961488,-179.01765369327032,-71.95051883914829,-70.02413785739411
1771975198.128813,2026-02-24T23:19:58.128813+00:00,6.590847314621402,-12.410816298301294,0.09677224567922475,-179.077524616272,-72.08842753698057,-69.9889817974765
1771975198.1295516,2026-02-24T23:19:58.129552+00:00,6.588836914474636,-12.410320215638198,0.09601646889386709,-179.13840312031647,-72.10562575665169,-69.93803102180475
1771975198.1306372,2026-02-24T23:19:58.130637+00:00,6.586819315391624,-12.409815864325052,0.09527477630921412,-179.19717598345935,-72.14009828967443,-69.88972105267725
1771975198.1603773,2026-02-24T23:19:58.160377+00:00,6.585864974178234,-12.411442622482843,0.0954012211831705,-179.24731879231993,-72.18406818876636,-69.84837958876689
1771975198.166564,2026-02-24T23:19:58.166564+00:00,6.5839391638581155,-12.410953158425906,0.09473352939256911,-179.28736865148215,-72.22920183327948,-69.81705954249021
1771975198.167411,2026-02-24T23:19:58.167411+00:00,6.5819164723917085,-12.410441223438205,0.09405003945884079,-179.3425812964869,-72.28183254413169,-69.76947849917113
1771975198.1905587,2026-02-24T23:19:58.190559+00:00,6.579894597251064,-12.409926478101399,0.09338949126687554,-179.4181533744153,-72.32841172068117,-69.7009594761529
1771975198.1935046,2026-02-24T23:19:58.193505+00:00,6.577864159232041,-12.409403183966964,0.09275602181313458,-179.5263320594539,-72.37574347854309,-69.60201979526418
1771975198.202617,2026-02-24T23:19:58.202617+00:00,6.575817694003826,-12.408873655664932,0.0921405148452972,-179.66550911988816,-72.41716413810863,-69.47624763575456
1771975198.204568,2026-02-24T23:19:58.204568+00:00,6.57376286260822,-12.408339388574095,0.09153041912026964,-179.84418714340424,-72.4570217410838,-69.31830290534506
1771975198.2114773,2026-02-24T23:19:58.211477+00:00,6.57170944053768,-12.407799176233,0.09093580815944219,179.93836159420084,-72.4894210313428,-69.12570474369215
1771975198.2130153,2026-02-24T23:19:58.213015+00:00,6.569662529179343,-12.407257398096528,0.09036211501346465,179.7253558856387,-72.5208069603723,-68.93602076258026
1771975198.2142422,2026-02-24T23:19:58.214242+00:00,6.5676240101643195,-12.406717984158899,0.08980270575188228,179.53473456190446,-72.56142285965633,-68.76239538499912
1771975198.2295685,2026-02-24T23:19:58.229568+00:00,6.568037075047043,-12.40573650715799,0.08938112588679704,179.35181994155698,-72.60018380675425,-68.58583093410572
1771975198.2447603,2026-02-24T23:19:58.244760+00:00,6.566111371832742,-12.405209480589518,0.08888859572238562,179.21813416147938,-72.64334135718973,-68.46299119714813
