unix_time,iso_time,x,y,z,roll_deg,pitch_deg,yaw_deg
1775082222.4276814,2026-04-01T22:23:42.427681+00:00,-0.0019490527768601257,0.015186390948504587,0.006171735920377997,-0.9851280463962658,-0.08398473864787402,1.0773694044631401
1775082222.4318814,2026-04-01T22:23:42.431881+00:00,-0.0035428353580199143,0.014268046532296425,0.006095622054489991,-0.9885096578861859,-0.0856128780213035,1.0613206461959757
1775082222.4354186,2026-04-01T22:23:42.435419+00:00,-0.0034857298140487884,0.014463910230116131,0.006137012347692816,-0.9875537428778058,-0.08587156941550649,1.0684082325520101
1775082222.4639978,2026-04-01T22:23:42.463998+00:00,-0.00207065299536865,0.014588070724331742,0.0062167114063013335,-0.9841112411355655,-0.0861755830482831,1.0757287193481853
1775082222.464986,2026-04-01T22:23:42.464986+00:00,-0.0019353440384852654,0.014809596730821332,0.0062592789683818695,-0.9839563607490532,-0.08636618572828769,1.0797667348029496
1775082222.4679708,2026-04-01T22:23:42.467971+00:00,-0.0018868537267011862,0.01489171805711546,0.00626857160195723,-0.9832879020275945,-0.0866259059911806,1.0794445893159441
1775082222.4722102,2026-04-01T22:23:42.472210+00:00,-0.001816419678430866,0.01500458962546433,0.0062779587875254105,-0.982736856675815,-0.08626951959230865,1.0788452597292295
1775082222.4735363,2026-04-01T22:23:42.473536+00:00,-0.0017678369254858926,0.015076455361172155,0.006284153193121809,-0.9831276809350783,-0.08602523004559694,1.0782724840881814
1775082222.5095284,2026-04-01T22:23:42.509528+00:00,-0.0017210626084699905,0.015142815574165117,0.006290599237273645,-0.9838471660704126,-0.08571775747432937,1.0777679963603521
1775082222.5107331,2026-04-01T22:23:42.510733+00:00,-0.0016601913152926703,0.015230577693458024,0.006298871802515683,-0.9844653222318627,-0.08499264725506595,1.076218214193463
1775082222.521225,2026-04-01T22:23:42.521225+00:00,-0.0016080445286304613,0.015307855108985692,0.006306082298411508,-0.9846869106672377,-0.08460572342304062,1.0743199070388898
1775082222.5219936,2026-04-01T22:23:42.521994+00:00,-0.0016539940886642493,0.015238016648939267,0.00630013869882978,-0.9844763489656129,-0.08494761875503672,1.075996842964118
1775082222.5224268,2026-04-01T22:23:42.522427+00:00,-0.003570030102618142,0.014691515056111033,0.0059868253019109965,-0.9877969173031995,-0.08600631671558528,1.0593761579483805
1775082222.5330641,2026-04-01T22:23:42.533064+00:00,-0.0019839132106735944,0.014952061261983406,0.006093696649141587,-0.9843592837860324,-0.08608649602668382,1.0678662341498248
